advisor,author
119097,Gemma (Jemme Reinerszoon) Frisius
131606,Adrien Turnèbe
131517,Guillaume Budé
152901,Marco Musuro
152902,Nicoletto Vernia
143045,Johann Jacob Grynaeus
126109,Johannes Müller Regiomontanus
125681,Jacobus (Jacques Masson) Latomus
125682,Jan (Johannes Campensis) van Campen
126571,Rutger Rescius
125422,Jacobus (Jacques Dubois) Sylvius
131575,Georgios Plethon Gemistos
148882,Gaetano da Thiene
164338,Sigismondo Polcastro
125892,Petrus (Pieter de Corte) Curtius
131398,Jacques (Jacobus Faber) Lefèvre d'Étaples
131541,Janus Lascaris
182092,Simon Sulzer
143044,Jacob Andreae
127181,Girolamo (Hieronymus Aleander) Aleandro
131399,Wolfgang Fabricius Capito
131400,Elijah ben Asher Levita
126087,Georg von Peuerbach
125794,Matthaeus Adrianus
128987,François Dubois
134781,Elissaeus Judaeus
134931,Guarino da Verona
125894,Maarten (Martinus Dorpius) van Dorp
131576,Demetrios Chalcocondyles
182045,Simon Grynaeus
131446,Moses Perez
131447,Scipione Fortiguerra
126887,Johannes von Gmunden
131584,Theodoros Gazes
179837,Florens Florentius Radwyn Radewyns
152647,Balthasar Kaeuffelin
131535,Angelo Poliziano
131539,Marsilio Ficino
131540,Cristoforo Landino
