pid,name
20296,Robert W. Berger
204293,Shams al‐Dīn al‐Bukhārī
208258,Gerardus Leonardus Blasius
208259,Siegmund Jakob Baumgarten
21235,Otto Mencke
21668,Günter Hotz
217509,Nasir al-Dīn al-Ṭūsī
221100,Leonhard Etzler
221101,Anton Euonymus
223724,Kamāl al-Dīn Ibn Yūnus
224249,Reinhard Bachoff von Echt
230796,Constantin Ziegra
230926,Sharaf al-Dīn al-Ṭūsī
232227,Paolo (Nicoletti) da Venezia
234,Wolfgang Krull
29642,Christian Ludwig Gerling
38586,Leonhard Euler
47025,Karl Christian von Langsdorf
47064,Martin Ohm
50689,Wilfried Brauer
5119,Alfred Loewy
53410,Johann Bernoulli
54440,Jacob Bernoulli
57670,Christian August Hausen
58560,Wolffried Stucky
60782,Johann Andreas Segner
60984,Erhard Weigel
60985,Gottfried Wilhelm Leibniz
61850,Gustav Conrad Bauer
63188,Georg Lausen
66006,Bernhard Nebel
66476,Abraham Gotthelf Kästner
72669,Johann Christoph Wichmannshausen
7298,David Hilbert
7379,Erich Hecke
7401,C. Felix (Christian) Klein
7402,Julius Plücker
7404,C. L. Ferdinand (Carl Louis) Lindemann
76481,"Elias Rudolph Camerarius, Sr."
95822,Wolfgang Wahlster
