1	11
1	28
1	31
100000	172181
100000	172182
100000	173257
100006	285057
10001	26681
10001	38455
10001	39395
100016	176202
100016	210858
100016	285216
100017	263709
100022	110698
100022	132100
100022	135834
100022	168059
100022	178854
100022	203040
100022	246384
100023	112335
100023	112688
100023	113203
100023	113204
100023	124934
100023	152833
100023	209790
100025	115172
100025	115173
100025	130905
100025	167785
100025	169429
100032	85255
100043	120300
100043	120361
100043	123732
100043	136368
100043	136548
100043	150492
100043	150493
100043	231377
100043	231378
100043	231379
100043	231380
100045	197515
100046	156336
100046	156337
100046	176905
100046	195560
100046	259615
100046	259616
100046	259617
100046	259618
100046	285678
100048	217118
100048	217119
100049	217211
10005	40376
10005	43415
10005	43571
10005	77837
100052	278041
100052	278042
100052	280890
100052	284978
100054	117903
100054	117904
100054	117905
100054	117907
100054	117908
100054	117909
100054	40780
10006	142936
100071	193266
100075	78401
100081	100082
100082	100083
100082	100084
100082	100085
100082	100086
100082	100087
100082	100088
100082	100089
100082	100090
100082	100091
100082	161822
100082	161823
100082	168436
100082	181095
100082	215530
100082	231464
100084	211561
100092	100107
100092	172985
100092	172986
100092	172987
100092	172988
100092	173013
100092	187220
100092	188267
100093	100101
100093	111750
100093	126693
100093	178240
100093	196121
100093	240389
100093	280075
100093	285280
100093	285401
100093	285461
100094	100103
100095	100115
100095	105055
100095	105232
100095	110653
100095	133418
100095	166326
100095	210160
100095	244144
100095	272749
100095	279145
100095	281854
100096	100095
100096	100113
100096	100114
100096	100116
100096	100117
100096	100118
100096	100119
100096	100120
100096	100121
100096	100122
100096	100123
100096	100124
100096	100125
100096	100126
100096	100127
100096	100128
100096	100129
100096	100130
100096	163876
100097	142276
100098	228706
100099	251337
100102	281523
100102	281524
100107	199608
100107	215321
100107	218435
100107	223770
100107	231168
100107	234832
100107	245894
100108	121379
100108	165100
100108	167734
100108	234037
100108	240563
100115	166326
100115	168114
100115	174567
100115	213291
100116	213643
100117	111463
100117	111464
100117	111574
100117	209774
100117	209775
100120	163447
100120	163791
100120	163792
100120	163793
100120	163794
100120	163795
100120	163796
100120	163797
100120	163798
100120	163799
100121	156658
100121	236901
100121	236902
100126	156942
100130	255682
100141	100165
100141	101501
100141	103160
100141	119505
100141	120562
100141	121158
100141	121159
100141	121160
100141	121177
100141	124054
100141	124055
100141	124056
100141	124057
100141	174306
100141	179051
100141	185365
100141	251167
100142	100162
100143	100169
100147	252765
100148	173747
100149	166911
100149	210720
100158	163359
100158	196969
100158	196970
100159	163081
100159	163087
100160	222299
100161	130191
100161	157462
100161	185044
100161	200793
100161	284597
100165	121302
100165	121303
100165	121304
100165	121305
100165	125042
100165	150079
100166	131477
100166	136456
100166	160581
100166	197764
100166	245637
100166	260454
100166	281587
100172	169152
100172	204283
100172	204284
100172	226074
100172	245841
100172	245842
100172	245843
100175	267897
100181	165125
100181	166971
100181	170764
100181	175612
100181	202545
100181	217504
100183	115238
100183	115239
100183	115240
100183	116232
100183	125592
100183	125600
100183	130634
100183	164251
100183	164252
100183	164343
100183	167250
100183	167338
100183	170082
100183	172654
100183	172655
100183	172958
100183	179638
100183	179639
100183	179835
100183	186053
100183	194711
100183	194768
100183	194769
100183	198604
100183	198691
100183	211456
100183	224632
100183	224633
100183	236832
100183	236833
100183	250668
100183	250669
100183	250670
100183	250671
100183	261617
100183	267040
100183	272795
100183	272796
100183	272797
100183	272799
100183	272800
100183	272801
100183	272802
100183	272803
100183	272804
100183	272805
100184	223872
100186	132572
100186	280613
100193	101029
100193	101764
100193	101765
100193	101766
100193	101767
100193	101768
100193	101769
100193	101770
100193	101771
100193	101772
100193	101773
100193	156869
100193	277468
100194	123539
10020	196209
10020	237900
10020	237901
10020	3061
10020	38049
100215	173189
100215	286179
100216	101402
100216	120516
100216	195336
100216	202131
100216	243590
100216	84654
100220	173828
100220	192266
100220	192267
100220	192268
100223	146423
100223	146424
100223	146425
100224	103982
100224	66413
100231	216684
100231	268470
100234	100244
100234	100297
100234	101546
100234	101828
100234	127090
100234	140667
100234	157218
100234	223589
100235	100255
100236	100248
100236	108559
100236	108560
100236	108561
100236	156638
100236	229990
100236	232288
100237	100248
100239	184596
100241	202336
100241	233610
100241	265744
100244	100290
100244	100291
100244	100292
100244	100293
100244	100294
100244	100295
100244	100297
100244	102552
100244	106892
100244	158300
100244	158301
